Date,Assigned to,Newspaper,Link,Section,Key words,Opinion adm,Opinion CDC,Briefly observation,,,,,,,,,,,
3/1/2020,Cecilia,The New York Post,https://nypost.com/2020/03/01/nyc-officials-dont-panic-after-first-confirmed-coronavirus-case/,Metro,"First case, health department",Nada,Nada,New York City officials are urging folks not to panic over the first confirmed case of the coronavirus in the state on Sunday.,,,,,,,,,,,
3/1/2020,Cecilia,The New York Post,https://nypost.com/2020/03/01/coronavirus-taking-a-toll-on-chinese-restaurants-in-new-york/,Business,"Chinese Restaurants, impact of coronavirus",0,Nada,Even the Big Apple’s most beloved Chinese restaurants are in critical condition as the coronavirus keeps customers at bay.,,,,,,,,,,,
3/1/2020,Cecilia,The New York Post,https://nypost.com/2020/03/01/second-us-coronavirus-death-reported-in-washington-state/,News,"Washington state, confirmed cases, critical condition",Nada,Nada,"Officials announced three other confirmed cases in the county, including a woman in her 90s, a woman in her 80s and a man in his 70s. All three were in critical condition at EvergreenHealth.",,,,,,,,,,,
3/1/2020,Cecilia,The New York Post,https://nypost.com/2020/03/01/first-case-of-coronavirus-confirmed-in-manhattan/,Metro,"New York, First case",Nada,Nada,"The first case of coronavirus in New York City was confirmed Sunday to be a woman in her late 30s who recently traveled to Iran, a state official said.",,,,,,,,,,,
3/1/2020,Cecilia,The New York Post,https://nypost.com/2020/03/01/ny-study-abroad-students-in-italy-being-sent-home-over-coronavirus-scare/,Metro,"Abroad students, university",Nada,0,"Syracuse University student Eli Schwemler entered the courtyard of his school’s Florence, Italy, campus last week expecting a Q&A about the faraway threat of the coronavirus. Instead, he and 341 classmates were told to pack their bags and leave the country.",,,,,,,,,,,
3/1/2020,Cecilia,The New York Post,https://nypost.com/2020/03/01/coronavirus-stricken-south-korean-church-could-face-murder-investigation/,News,"South Korean, church",Nada,Nada,"The controversial religious group, which many mainstream churches consider a cult, has hundreds of members who tested positive for the coronavirus after congregants traveled to the Chinese city of Wuhan, where the virus broke out in December, CNN reported.",,,,,,,,,,,"
"
3/1/2020,Cecilia,The New York Post,https://nypost.com/2020/03/01/irans-coronavirus-death-toll-increases-by-11-in-single-day/,News,"Iran, death, confirmed cases",Nada,Nada,"Iran’s death toll from the coronavirus climbed Sunday to 54 — as the number of people in the country confirmed to have the deadly bug jumped overnight to 978 people, health officials said.",,,,,,,,,,,
3/1/2020,Cecilia,The New York Post,https://nypost.com/2020/03/01/panicked-new-york-shoppers-stock-up-at-costco-amid-coronavirus-fears/,Metro,"Panicked purchasers, supplies",Nada,Nada,"Hundreds of on-edge shoppers packed a Brooklyn Costco on Sunday to stock up on water, rice and other supplies amid fears of a coronavirus epidemic.",,,,,,,,,,,
3/1/2020,Cecilia,The New York Post,https://nypost.com/2020/03/01/chinese-man-sentenced-to-death-for-killing-2-people-at-coronavirus-checkpoint/,News,"Checkpoint, murder, China",Nada,Nada,"A Chinese man was sentenced to death after he stabbed two people at a coronavirus checkpoint in a southwestern province, state media reported.",,,,,,,,,,,
3/1/2020,Cecilia,The New York Post,https://nypost.com/2020/03/01/medicare-should-cover-cost-of-coronavirus-vaccine-schumer-says/,News,"Vaccine, Public health, senator",0,Nada,Sen. Chuck Schumer called on Sunday for the coronavirus vaccine currently in the works to be fully covered by Medicare and made available to senior citizens as part of the upcoming federal legislation to fight what is possibly becoming a global pandemic.,,,,,,,,,,,
3/1/2020,Cecilia,The New York Post,https://nypost.com/2020/03/01/delta-american-airlines-suspend-flights-to-milan-amid-coronavirus-outbreak/,News,"Flights, suspend, Italy",0,Nada,"Delta and American Airlines will suspend all US flights to Milan in the wake of an elevated travel warning issued over the spreading coronavirus, the companies announced this weekend.",,,,,,,,,,,
3/1/2020,Cecilia,The New York Post,https://nypost.com/2020/03/01/usps-worker-tests-positive-for-coronavirus-in-seattle-area/,News,"US Postal Service, positive cases",Nada,Nada,"A US Postal Service employee has tested positive for the coronavirus in the Seattle area — as the Pacific Northwest grapples with an outbreak, according to a report.",,,,,,,,,,,
3/1/2020,Cecilia,The New York Post,https://nypost.com/2020/03/01/trump-announces-intensified-traveler-screening-because-of-coronavirus/,News,"Screening procedures, travel, president",0,Nada,President Trump announced in a tweet on Sunday that his administration would increase screening procedures for travelers from countries with a “high risk” of the coronavirus.,,,,,,,,,,,
3/1/2020,Cecilia,The New York Post,https://nypost.com/2020/03/01/frances-louvre-museum-shut-down-amid-spreading-coronavirus-crisis/,News,"France, Louvre museum",Nada,Nada,The world’s most popular museum shut its doors to visitors while a staff meeting about the deadly virus was conducted. The virus has now spread to more than 60 countries on every continent except Antarctica.,,,,,,,,,,,
3/1/2020,Cecilia,The New York Post,https://nypost.com/2020/03/01/2-more-people-in-nyc-being-tested-for-coronavirus/,Metro,"Iran, travel",Nada,0,"A New York City couple is being monitored for the coronavirus after traveling to the hot zone of Iran, the mayor said Sunday.",,,,,,,,,,,
3/1/2020,Cecilia,The New York Post,https://nypost.com/2020/03/01/france-urges-people-to-stop-double-cheek-kisses-to-prevent-coronavirus/,News,"France, kiss, prevention",Nada,Nada,France is urging people to cut back on the customary double-cheek kiss in order to prevent the spread of the deadly coronavirus.,,,,,,,,,,,
3/1/2020,Cecilia,The New York Post,https://nypost.com/2020/03/01/coronavirus-may-have-been-spreading-in-washington-state-for-weeks-experts/,News,"Washington state, community spread",Nada,0,"Washington state’s coronavirus outbreak that claimed a life over the weekend suggests that the bug has been spreading there for nearly six weeks, according to experts.",,,,,,,,,,,
3/1/2020,Cecilia,The New York Post,https://nypost.com/2020/03/01/us-surgeon-general-begs-people-to-stop-buying-masks-amid-coronavirus-panic/,News,"Masks, preventive actions",Nada,Nada,America’s top doctor is begging people to stop panic-buying face masks — fearing a shortage could cause an even bigger medical threat.,,,,,,,,,,,
3/1/2020,Cecilia,The New York Post,https://nypost.com/2020/03/01/coronavirus-fears-send-west-coast-shoppers-into-panic/,News,"Panicked shoppers, California",Nada,Nada,Panicked shoppers have been clearing shelves though fears that they could soon be forced to self-quarantine at home if the coronavirus spreads.,,,,,,,,,,,
3/1/2020,Cecilia,The New York Post,https://nypost.com/2020/03/01/australia-confirms-first-death-from-coronavirus/,News,"Australia, death",Nada,Nada,Australia reported the country’s first death of the coronavirus was a former passenger of the quarantined Diamond Princess cruise.,,,,,,,,,,,
3/1/2020,Cecilia,The New York Post,https://nypost.com/2020/03/01/pence-says-theres-no-question-us-will-have-more-cases-of-coronavirus/,News,"Vice president, restrictions, cases",0,Nada,"Vice President Pence, who’s running point on the Trump administration’s response to the coronavirus, said Sunday “it is possible” that more people in the US could die from the global epidemic.",,,,,,,,,,,
