Date,Assigned to,Newspaper,Link,Section,Key Words,Opinion adm,Opinion CDC,Briefly observation,Abstractor,
1/19/2020,A,The New York Times,https://www.nytimes.com/2020/01/18/world/asia/china-virus-wuhan-coronavirus.html?searchResultPosition=1,Asia Pacific,"Low transmission, unclear",Nada,0,"China’s central government sought to reassure the public that it had the situation under control. Dr. Hui said the risk of the virus spreading from human to human on a broad scale appeared to be low.On Friday, the Centers for Disease Control and Prevention in the United States announced that airports in New York, San Francisco and Los Angeles would begin screening passengers from Wuhan for the virus.  ","AM, NR ",
1/26/2020,A,The New York Times,https://www.nytimes.com/2020/01/26/world/china-coronavirus.html?searchResultPosition=1,World,"US Cases, Isolation, low risk to general public.",0,0,"Dr. Michael Osterholm, director of the Center for Infectious Disease Research and Policy at the University of Minnesota, said he had seen no data to indicate that people with no symptoms were contagious.",,
1/26/2020,A,The New York Times,https://www.nytimes.com/2020/01/26/world/asia/26california-coronavirus.html?searchResultPosition=2,Asia Pacific,Monitor passengers from China,0,0,The United States has limited passengers who have recently visited Wuhan,,
1/26/2020,A,The New York Times,https://www.nytimes.com/2020/01/26/world/asia/china-coronavirus-xi-jinping.html?searchResultPosition=3,Asia Pacific,public health crisis. Lockdown in Wuhan,Nada,Nada,"the Chinese government has stepped up its response to the Wuhan crisis, but the effort has been plagued by bureaucracy and a lack of transparency. Compared to the very low bar set by the Chinese leadership’s secrecy and inaction during the SARS epidemic in 2002 and 2003, Mr. Xi has responded with speed and alacrity to the latest health emergency. Officials then quickly acknowledged the dangers of the coronavirus and ordered drastic measures to stop the spread — perhaps, experts said, belatedly — including the lockdown of much of the province where the epidemic emerged, penning in 56 million people. From a localized medical mystery a few weeks ago, the coronavirus has erupted as one of the most complex and unpredictable tests for Mr. Xi since he came to power more than seven years ago. The local authorities (Wuhan) kept a lid on the crisis in the first days of January so as not to upset the cheerful tone for a provincial legislative session.",,
1/26/2020,A,The New York Times,https://www.nytimes.com/2020/01/26/world/asia/coronavirus-wuhan-china-hubei.html?searchResultPosition=4,Asia Pacific,"rapid spreading rate, China’s lockdown, growing global alarm, asymptomatic transmissions",Nada,0,"“The epidemic is now entering a more serious and complex period,” Mr. Ma said during a Sunday news conference in Beijing. “Anything that is done that increases social distancing can help decrease the spread of the virus,” said Dr. Thomas R. Frieden. “To put a ring around cities of this size and population is unprecedented,” said Dr. Howard Markel. “You can’t board up a germ. A novel infection will spread,” said Lawrence O. Gostin. “If you continue to quarantine more and more places in China, you’re going to start to really break normal societal interaction, normal movement of goods and people and medical supplies and food and medicine,” Dr. Inglesby said.",,
1/26/2020,A,The New York Times,https://www.nytimes.com/2020/01/26/travel/Coronavirus-travel.html?searchResultPosition=5,Travel,Avoid  trips to China. Screen passengers. Keep some distance .,,0,"Dr. Paulo Alves, said masks are meant to contain the droplets that someone emits when sneezing or coughing. Passengers are not being issued surgical masks by airlines.The decision behind which American airports screen passengers is made by the C.D.C., which last week began scanning passengers for signs of infection",,
2/2/2020,C,The New York Times,https://www.nytimes.com/2020/02/02/world/asia/china-coronavirus.html?searchResultPosition=1,Asia Pacific,stocks plunge,nada,nada,"Stocks in Shanghai opened 8.7 percent lower, while shares in the southern Chinese boomtown of Shenzhen fell 9 percent. The markets had been closed since Jan. 23 for the Lunar New Year holiday, and government officials extended that closure until Monday while the authorities dealt with the outbreak.",,
2/2/2020,C,The New York Times,https://www.nytimes.com/2020/02/02/world/asia/china-coronavirus-philippines-thailand.html?searchResultPosition=2,Asia Pacific,quieter response,nada,nada,Top officials in Southeast Asia have played down the threat of the virus,,
2/2/2020,C,The New York Times,https://www.nytimes.com/2020/02/02/business/the-week-in-business-coronavirus-hits-the-world-economy.html?searchResultPosition=3,Business,bussiness- finance- ,nada,nada,American companies suffer big losses,,
2/2/2020,C,The New York Times,https://www.nytimes.com/2020/02/02/world/asia/china-coronavirus-wuhan.html?searchResultPosition=4,Health,heath care. ,nada,nada,impossble to get health care in Wuhan,,
