,Titulo,Url,Fecha,Texto
0,NYC officials: Don’t panic after first confirmed coronavirus case,https://nypost.com/2020/03/01/nyc-officials-dont-panic-after-first-confirmed-coronavirus-case/,2020-03-01 00:00:00,"New York City officials are urging folks not to panic over the first confirmed case of the coronavirus in the state on Sunday.
Shortly after the Big Apple case was announced, Mayor Bill de Blasio released a statement saying authorities are “fully prepared to respond” to the development.
“From the beginning, we have said it was a matter of when, not if there would be a positive case of coronavirus in New York,” the mayor said.
“Our health authorities have been in a state of high alert for weeks, and are fully prepared to respond,” the statement said. “We will continue to ensure New Yorkers have the facts and resources they need to protect themselves.”
New York City Council Speaker Corey Johnson tweeted that “this is no cause to panic.”
The council will hold a hearing on Thursday to find out how the Big Apple is prepared for the outbreak, Johnson said.
Governor Andrew Cuomo on Sunday evening announced the first case of the deadly virus in the state — a woman in her late 30s who recently traveled to Iran.
She is being isolated and monitored at home in Manhattan.
The patient isn’t sick enough to be hospitalized, according to the NYC Department of Health and Mental Hygiene.
City health officials have identified close contacts of the woman who may have been exposed “and will take appropriate measures to prevent the spread of COVID-19,” Health Commissioner Dr. Oxiris Barbot said in a statement.
The Health Department didn’t say how many people the patient was in contact with.
“Despite this development, New Yorkers remain at low risk for contracting COVID-19,” Barbot said.
“As we confront this emerging outbreak, we need to separate facts from fear, and guard against stigma and panic.”
Nine people have tested negative for the virus in the Big Apple, with one test still pending as of Sunday night."
1,Coronavirus taking a toll on Chinese restaurants in New York,https://nypost.com/2020/03/01/coronavirus-taking-a-toll-on-chinese-restaurants-in-new-york/,2020-03-01 00:00:00,"Even the Big Apple’s most beloved Chinese restaurants are in critical condition as the coronavirus keeps customers at bay.
Restaurant owners, the people who work for them and city lawmakers say business at Chinese-owned establishments has plummeted by as much as 60 percent as the global pandemic spreads. Some restaurants in Queens have closed, possibly for good, sources said.
“It’s been terrible for business,” said Thomas Lo, a co-owner of Spy C Cuisine of Forest Hills, Queens, which opened in 2018 and garnered a coveted spot in this year’s Michelin Guide. “We’ve had a steady increase in business since we opened, and then coronavirus hit,” said Lo, who is an anesthesiologist by day and a chef by night.
“None of our food comes from China, but that doesn’t matter to diners. I don’t know what motivated the scare. A lot of it is misinformation,” said Lo, who says business at Spy C is down more than 50 percent from a month ago.
“It’s killed a lot of restaurants and others are just getting by, trying to survive. “A lot of the large Chinese restaurants in Flushing are now closed — for renovations, they say, but it’s unlikely they’ll reopen,” said Lo. “Chinatown was also really hit. It’s a lot slower. All you have to do is walk around to notice it.”
Councilmember Peter Koo of Queens has called on Mayor Bill de Blasio to offer a helping hand in light of Hizzoner’s recent vow to “provide small businesses the support they need to survive.”
“The city should do something like lower taxes,” Koo said. “Some restaurants have even closed. They have no business and even the ones that are open have more staff than diners. These are big spaces with huge overhead.”
Koo is counting on the mayor’s initiative, unveiled earlier this month during his state of the city address, to help local businesses stay afloat amid rising rents and labor costs. “We must make New York City easier to afford, protect the mom-and-pop businesses that make New York New York, and hand this city back to the people who make it so great,” de Blasio announced at the time.
The mayor’s office didn’t return a request for comment. But sources say de Blasio made a show of confidence in struggling Chinese restaurants on Thursday by attending a Chinese New Year event at Jing Fong, the city’s largest restaurant with 25,000 square feet of space and a unionized staff of 170.
But Jing Fong — an iconic Chinatown eatery famous for its traditional dim sum carts — is not faring any better than its peers, said Claudia Leo, Jing Fong’s marketing director. Events scheduled for March are down 75 percent over last year, Leo told Side Dish. In February, business was down 50 percent.
“We can’t lay off anyone but we are reducing hours so people working six days a week might now be working three or four days a week,” Leo told Side Dish.
There’s also an uptown Jing Fong on the Upper West Side that employs 30 staffers and seats 70 people. Business there was down 20 percent in February, she said.
“Business is down there too, but not as much,” Leo said. “This tells you that people are still eating out but they are staying away from Chinatown.”
Johnny Lin, owner of Four Four South Village, a popular Taiwanese beef noodle restaurant in Flushing, said his business is also hurting.
“Flushing has been hugely impacted by the coronavirus,” Lin said. “Business has been going down dramatically thanks to rumors and fear-mongering … We hope that the community and the government can encourage people to support local businesses, and of course Flushing, by alleviating the concerns people have about the virus.”
A publicist who works with top Chinese restaurants across Manhattan said some restaurant owners are still hesitant to acknowledge how bad things have gotten.
“I do have some clients that are impacted significantly, but they prefer to not talk about it. Personally, I know Chinatown and Flushing businesses are hit the hardest,” the publicist said.
Popular upscale Chinese eateries like Mr Chow, with locations in Tribeca and Midtown, Shun Lee on the Upper West Side, and Hutong near Bloomingdale’s didn’t return requests for comment at press time.
Truman Lam, the third-generation owner of Jing Fong, which was founded by his grandfather in 1972, said he had previously expected 2020 to be a bumper year following a long period of instability due to rising rent and employment costs. “We finally thought we were going to have a good year,” he lamented.
“For a business that had been around for 40 years, if this drags on for a few months, who knows if we can survive. We have some cash and we can make some cuts, but the scary thing is, there is no end in sight. The chefs are trying to cut down on staff but there is no clarity. It is hard to plan when you don’t know what will happen.”
“My grandfather would say the same thing. He came from nothing. We just have to fight and keep going and hope for the best.”"
2,Second US coronavirus death reported in Washington state,https://nypost.com/2020/03/01/second-us-coronavirus-death-reported-in-washington-state/,2020-03-01 00:00:00,"The coronavirus has claimed a second life in the US — a man in his 70s who died in a Seattle-area hospital, officials said Sunday.
The man, who had underlying health conditions, died Saturday at EvergreenHealth hospital in Kirkland, according to public health authorities in King County, Wash.
That’s the same facility where officials on Saturday identified the first person to succumb to the virus in the nation– a man in his 50s, also with underlying health conditions.
Officials announced three other confirmed cases in the county, including a woman in her 90s, a woman in her 80s and a man in his 70s.
All three were in critical condition at EvergreenHealth.
Earlier on Saturday, the county reported two other patients, both men in their 60s, in critical condition at hospitals in Seattle and Renton.
That brings the total of cases in the county to eight, including a woman who works for the US Postal Service."
3,First case of coronavirus confirmed in New York City,https://nypost.com/2020/03/01/first-case-of-coronavirus-confirmed-in-manhattan/,2020-03-01 00:00:00,"The first case of coronavirus in New York City was confirmed Sunday to be a woman in her late 30s who recently traveled to Iran, a state official said.
Gov. Andrew Cuomo released a statement Sunday night announcing the first case in the state. A source told The Post the woman lives in Manhattan.
“The patient, a woman in her late thirties, contracted the virus while traveling abroad in Iran, and is currently isolated in her home,” Cuomo said in the statement.
Despite the state’s first case of the deadly virus, Cuomo insisted, “There is no cause for surprise — this was expected.”
“As I said from the beginning, it was a matter of when, not if there would be a positive case of novel coronavirus in New York.”
As of late Sunday, there were 76 confirmed cases of coronavirus, known as COVID-19, across the US."
4,NY study-abroad students in Italy being sent home over coronavirus scare,https://nypost.com/2020/03/01/ny-study-abroad-students-in-italy-being-sent-home-over-coronavirus-scare/,2020-03-01 00:00:00,"Syracuse University student Eli Schwemler entered the courtyard of his school’s Florence, Italy, campus last week expecting a Q&A about the faraway threat of the coronavirus.
Instead, he and 341 classmates were told to pack their bags and leave the country.
“They gathered us all into a medium-sized room, looked at the entirety of us and realized it was too many people for the space. So they set up a PA system with microphones outside and led us there,” said Schwemler, 20, of Philadelphia to The Post.
“Students took their seats within the campus courtyard, and [higher-ups] finally made their statement — we had to leave the country within five days,” Schwemler said.
Panic and grief ensued, he said.
“Every student was surprised, and many cried or rushed to make hurried phone calls to their parents,’’ said the student at the upstate New York school.
“The teachers were astonished,’’ too, Schwemler said, adding that everyone was given masks at the Tuesday gathering. “Many began to sob.’’
A similar scenario has been playing out at various study-abroad campuses of American universities in Italy, where the coronavirus has sickened at least 1,128 people and killed 29 there, according to statistics from Johns Hopkins University.
Katelyn Johnson, 20, a sophomore studying at St. John’s University’s satellite campus in Rome, said that after the CDC on Friday started warning people to “avoid unnecessary travel’’ to Italy, her school, which is based in New York City, yanked the plug on its study-abroad program there, too.
Johnson said she was in Barcelona, Spain, at the time. She got the news by e-mail while at a nightclub.
“It was like, ‘Well, shoot, we’re in a different country, and now we have to get back to Italy’ ’’ to collect belongings, she told The Post.
“It was really scary, we didn’t even know if we were going to make it out of Spain.”
But she said nerves have been jittery over the deadly virus in Europe for awhile.
“I have a cough, and if I cough in public, everyone jumps and scatters, so I decided I’m going to start wearing a mask,” Johnson said last week, before getting evacuation orders.
Meanwhile, the changing nature of the situation is only adding to the students’ anxiety.
St. John’s at first sent an e-mail to the study-abroad students detailing how they would return to New York City to continue classes.
“Due to this change in guidance we are discontinuing academic programs on the Rome Campus until further notice,” the e-mail said.
But Johnson said, “Then they sent another one that said we all have to go to our homes and continue online.”
St. John’s is paying the costs of Johnson’s flight back to America and partially covering the cost of her room and board, she said.
As for Syracuse, Schwemler said, “The school didn’t have much information regarding academic credits, reimbursements or travels home.
“That information was to be figured out later. The priority was getting us to leave.’’
Syracuse students will not be allowed to return to their New York campus until after their spring break, a 14-day period consistent with the CDC’s quarantine guidelines.
They will then have the option to return and continue their studies in person and online to avoid disruption in credits.
“We believe this is absolutely necessary to reduce the risk of our students being unable to leave Italy due to Italian containment efforts,’’ wrote Steven Bennett, the school’s senior vice president for International Programs and Academic Operations, in a statement.
“We will do everything we can to minimize disruption to their academic studies and their lives.’’
For students such as Schwemler, who has already flown back to the US, the quick exit has led to feelings of an experience cut short.
“I had a really great internship’’ in Italy, he said.
Johnson, who is flying out Tuesday, said she would have preferred to brave the virus and stay in Italy.
“At this point, it just seems like I’m quarantined here or I’m quarantined there,” she said."
5,Coronavirus-stricken South Korean church could face murder investigation,https://nypost.com/2020/03/01/coronavirus-stricken-south-korean-church-could-face-murder-investigation/,2020-03-01 00:00:00,"The leaders of a shadowy South Korean church linked to a coronavirus outbreak could face a murder probe, according to a report.
South Korean prosecutors have been called on to investigate the Shincheonji Church of Jesus founder Lee Man-hee and other leaders of the sect for allegedly dangerous health behavior, the New York Times reported.
The controversial religious group, which many mainstream churches consider a cult, has hundreds of members who tested positive for the coronavirus after congregants traveled to the Chinese city of Wuhan, where the virus broke out in December, CNN reported.
Yet Duhyen Kim, a former member, claimed that attendees are not allowed to wear masks while praying because it would be “disrespectful to God.”
Seoul Mayor Park Won-soon likened the congregation’s behavior to “murder through… willful negligence” in a Facebook post, the New York Times reported.
South Korea has reported more than 3,700 cases with at least 18 deaths.
Meanwhile, there have been more than 87,000 cases across the world in 58 countries."
6,Iran’s coronavirus death toll increases by 11 in single day,https://nypost.com/2020/03/01/irans-coronavirus-death-toll-increases-by-11-in-single-day/,2020-03-01 00:00:00,"Iran’s death toll from the coronavirus climbed Sunday to 54 — as the number of people in the country confirmed to have the deadly bug jumped overnight to 978 people, health officials said.
The new figures represent 11 more deaths than reported Saturday and 386 newly confirmed cases, the majority of which are in Tehran, according to the health ministry’s spokesman, Kianoush Jahanpour.
Jahanpour said the number of infections were “still inclining” as cases popped up in a number of cities, including Mashad, the home of the country’s most important Shiite shrine.
The spokesman noted that 44 cases were detected for the first time in central Markazi province.
The first cases in the country were not reported until Feb. 19, weeks after the virus broke out in Wuhan, China.
The virus, known as COVID-19, has spread to more than 87,000 people across the globe and caused around 2,900 deaths.
With Post Wires"
7,Panicked New York shoppers stock up at Costco amid coronavirus fears,https://nypost.com/2020/03/01/panicked-new-york-shoppers-stock-up-at-costco-amid-coronavirus-fears/,2020-03-01 00:00:00,"Hundreds of on-edge shoppers packed a Brooklyn Costco on Sunday to stock up on water, rice and other supplies amid fears of a coronavirus epidemic.
Panicked purchasers — many of them wearing face masks — jammed into the Sunset Park warehouse, eagerly grabbing cases of bottled water in case they’re forced to quarantine at home as the virus spreads in the US.
“The coronavirus has them panicked … they think the world is coming to an end,” the store’s manager, who would only give his name as Jerry, told The Post.
“This is great for business, though!” Jerry added, noting he expects the wholesaler could rake in over $1 million on Sunday.
Workers said they were having to constantly restock the water aisle, where shoppers were silently lined up, waiting their turn to grab bottles.
A male employee said he’d put out 48 pallets of water by early afternoon — and that they were being cleared within 10 minutes.
One 44-year-old Brooklynite, who would only give his name as Felix, said he was buying 11 cases of Poland Spring water “in case we get stuck inside.”
Another male employee said the situation was worse on Saturday.

“This is because everybody is scared about corona and they’re stocking up on water and rice,” he said.
New Yorkers weren’t the only ones in disaster prep mode over COVID-19.
A Costco in Oregon ran out of toilet paper for the first time in its history and there were reports of long lines and wild scenes at stores in other parts of the hard-hit West Coast and in Hawaii."
8,Chinese man sentenced to death for killing 2 people at coronavirus checkpoint,https://nypost.com/2020/03/01/chinese-man-sentenced-to-death-for-killing-2-people-at-coronavirus-checkpoint/,2020-03-01 00:00:00,"A Chinese man was sentenced to death after he stabbed two people at a coronavirus checkpoint in a southwestern province, state media reported.
Ma Jianguo was ordered to death row Sunday following the double murder at a roadblock in Honghe County in the Yunnan province, the Xinhua News Agency reported.
The incident occurred Feb. 6 when one of Ma’s passengers tried to move a roadblock to allow the vehicle to pass through the checkpoint.
Ma then fatally slashed a member of the checkpoint team who whipped out a cellphone to film the incident, the report said. He also stabbed to death another person who rushed to the victim’s aid.
China has set up various checkpoints to evaluate travelers for symptoms of the deadly virus as more than 78,000 cases have sprung up in the country, mostly in the Hubei province, where the epidemic emerged in December.
With Post wires"
9,"Medicare should cover cost of coronavirus vaccine, Schumer says",https://nypost.com/2020/03/01/medicare-should-cover-cost-of-coronavirus-vaccine-schumer-says/,2020-03-01 00:00:00,"Sen. Chuck Schumer called on Sunday for the coronavirus vaccine currently in the works to be fully covered by Medicare and made available to senior citizens as part of the upcoming federal legislation to fight what is possibly becoming a global pandemic.
“The novel coronavirus shows us it’s critical to make vaccines available to susceptible groups quickly. The more you dither, the more people delay, the more people say ‘I don’t know if I’ll be able to come up with the money’ the greater the danger of the coronavirus spreading.” Schumer said.
Vaccinating seniors will help deter the spread of the virus among the rest of the population, Schumer said, adding that the elderly shouldn’t have to “make the choice between shelling out and going without.”
“I think all vaccines should be covered by Medicare because they save the overall health system money. But that’s a bigger and longer fight,” Schumer said during a press conference at his Manhattan office on 3rd Avenue. “To have this vaccine covered needs to be done immediately.”
The White House asked Congress for $2.5 billion for its effort to stem the spread of the virus and treat people who may become infected, while Schumer proposed allocating $8.5 billion.
The senator said the emergency spending bill could be unveiled as early as Monday or Tuesday, and hopes that it will pass the House and Senate within the next two weeks."
